date,txn_id,type,counterparty,amount,fee,balance
2025-04-01 08:25,77500000007,PAYMENT_RECEIVED,Customer 2507****130,27998,139,377859
2025-04-01 09:29,77500000014,PAYMENT_RECEIVED,Customer 2507****338,12209,61,390007
2025-04-01 09:44,77500000021,PAYMENT_RECEIVED,Customer 2507****127,32646,163,422490
2025-04-01 09:54,77500000028,PAYMENT_RECEIVED,Customer 2507****833,35984,179,458295
2025-04-01 10:22,77500000035,PAYMENT_RECEIVED,Customer 2507****658,41747,208,499834
2025-04-01 11:48,77500000042,PAYMENT_RECEIVED,Customer 2507****559,27869,139,527564
2025-04-01 12:10,77500000049,PAYMENT_RECEIVED,Customer 2507****928,37737,188,565113
2025-04-01 12:41,77500000056,PAYMENT_RECEIVED,Customer 2507****877,60518,302,625329
2025-04-01 17:18,77500000063,PAYMENT_RECEIVED,Customer 2507****814,54065,270,679124
2025-04-01 18:04,77500000070,PAYMENT_RECEIVED,Customer 2507****384,28035,140,707019
2025-04-01 13:20,77500000077,AIRTIME,MTN Airtime,-2000,10,705009
2025-04-02 09:34,77500000084,PAYMENT_RECEIVED,Customer 2507****144,20064,100,724973
2025-04-02 09:39,77500000091,PAYMENT_RECEIVED,Customer 2507****649,47605,238,772340
2025-04-02 09:44,77500000098,PAYMENT_RECEIVED,Customer 2507****487,13707,68,785979
2025-04-02 13:52,77500000105,PAYMENT_RECEIVED,Customer 2507****400,11404,57,797326
2025-04-02 14:07,77500000112,PAYMENT_RECEIVED,Customer 2507****733,56318,281,853363
2025-04-02 14:29,77500000119,PAYMENT_RECEIVED,Customer 2507****470,62400,312,915451
2025-04-02 18:18,77500000126,PAYMENT_RECEIVED,Customer 2507****821,36984,184,952251
2025-04-02 10:42,77500000133,TRANSFER_IN,BK Account Transfer,130137,500,1081888
2025-04-02 09:54,77500000140,TRANSFER_OUT,Supplier: Nyabugogo Hardware Ltd,-249453,500,831935
2025-04-03 10:46,77500000147,PAYMENT_RECEIVED,Customer 2507****818,43166,215,874886
2025-04-03 11:34,77500000154,PAYMENT_RECEIVED,Customer 2507****763,69475,347,944014
2025-04-03 12:44,77500000161,PAYMENT_RECEIVED,Customer 2507****750,10976,54,954936
2025-04-03 14:03,77500000168,PAYMENT_RECEIVED,Customer 2507****846,15757,78,970615
2025-04-03 14:13,77500000175,PAYMENT_RECEIVED,Customer 2507****573,19133,95,989653
2025-04-03 14:19,77500000182,PAYMENT_RECEIVED,Customer 2507****755,25761,128,1015286
2025-04-03 15:44,77500000189,PAYMENT_RECEIVED,Customer 2507****324,44461,222,1059525
2025-04-03 18:50,77500000196,PAYMENT_RECEIVED,Customer 2507****963,44203,221,1103507
2025-04-03 16:51,77500000203,CASH_OUT,Agent 30336,-50000,250,1053257
2025-04-04 09:07,77500000210,PAYMENT_RECEIVED,Customer 2507****758,26604,133,1079728
2025-04-04 11:36,77500000217,PAYMENT_RECEIVED,Customer 2507****371,30011,150,1109589
