date,txn_id,type,counterparty,amount,fee,balance
2026-01-01 08:25,77400000007,PAYMENT_RECEIVED,Customer 2507****195,5369,27,185342
2026-01-01 09:29,77400000014,PAYMENT_RECEIVED,Customer 2507****617,10939,55,196226
2026-01-01 09:44,77400000021,PAYMENT_RECEIVED,Customer 2507****674,20835,104,216957
2026-01-01 09:54,77400000028,PAYMENT_RECEIVED,Customer 2507****765,10504,53,227408
2026-01-01 10:22,77400000035,PAYMENT_RECEIVED,Customer 2507****529,24132,121,251419
2026-01-01 11:48,77400000042,PAYMENT_RECEIVED,Customer 2507****703,10979,55,262343
2026-01-01 12:10,77400000049,PAYMENT_RECEIVED,Customer 2507****990,12283,61,274565
2026-01-01 12:41,77400000056,PAYMENT_RECEIVED,Customer 2507****925,3496,17,278044
2026-01-01 15:12,77400000063,PAYMENT_RECEIVED,Customer 2507****532,9615,48,287611
2026-01-01 17:18,77400000070,PAYMENT_RECEIVED,Customer 2507****259,13743,69,301285
2026-01-01 18:04,77400000077,PAYMENT_RECEIVED,Customer 2507****881,10866,54,312097
2026-01-01 19:32,77400000084,PAYMENT_RECEIVED,Customer 2507****194,13655,68,325684
2026-01-01 18:06,77400000091,CASH_OUT,Agent 25881,-50000,300,275384
2026-01-02 08:44,77400000098,PAYMENT_RECEIVED,Customer 2507****171,10361,52,285693
2026-01-02 09:20,77400000105,PAYMENT_RECEIVED,Customer 2507****333,6056,30,291719
2026-01-02 10:07,77400000112,PAYMENT_RECEIVED,Customer 2507****181,26875,134,318460
2026-01-02 12:30,77400000119,PAYMENT_RECEIVED,Customer 2507****987,30628,153,348935
2026-01-02 13:00,77400000126,PAYMENT_RECEIVED,Customer 2507****384,8046,40,356941
2026-01-02 14:10,77400000133,PAYMENT_RECEIVED,Customer 2507****954,16594,83,373452
2026-01-02 14:27,77400000140,PAYMENT_RECEIVED,Customer 2507****479,14340,72,387720
2026-01-02 15:50,77400000147,PAYMENT_RECEIVED,Customer 2507****786,14106,71,401755
2026-01-02 17:09,77400000154,PAYMENT_RECEIVED,Customer 2507****799,12026,60,413721
2026-01-02 17:25,77400000161,PAYMENT_RECEIVED,Customer 2507****723,22304,112,435913
2026-01-02 17:51,77400000168,PAYMENT_RECEIVED,Customer 2507****646,21878,109,457682
2026-01-02 18:33,77400000175,PAYMENT_RECEIVED,Customer 2507****267,25151,126,482707
2026-01-02 18:43,77400000182,PAYMENT_RECEIVED,Customer 2507****376,16829,84,499452
2026-01-02 10:40,77400000189,TRANSFER_OUT,Supplier: Nyabugogo Traders,-218638,250,280564
2026-01-02 08:30,77400000196,TRANSFER_OUT,Landlord: Plaza House,-150000,250,130314
2026-01-02 12:05,77400000203,AIRTIME,MTN Airtime,-1000,0,129314
2026-01-03 09:07,77400000210,PAYMENT_RECEIVED,Customer 2507****758,17832,89,147057
2026-01-03 11:36,77400000217,PAYMENT_RECEIVED,Customer 2507****371,16738,84,163711
2026-01-03 11:37,77400000224,PAYMENT_RECEIVED,Customer 2507****862,9118,46,172783
2026-01-03 12:34,77400000231,PAYMENT_RECEIVED,Customer 2507****369,19606,98,192291
2026-01-03 13:22,77400000238,PAYMENT_RECEIVED,Customer 2507****538,25834,129,217996
2026-01-03 13:23,77400000245,PAYMENT_RECEIVED,Customer 2507****508,33002,165,250833
2026-01-03 14:50,77400000252,PAYMENT_RECEIVED,Customer 2507****241,14270,71,265032
2026-01-03 17:40,77400000259,PAYMENT_RECEIVED,Customer 2507****193,18118,91,283059
2026-01-03 19:11,77400000266,PAYMENT_RECEIVED,Customer 2507****981,26178,131,309106
2026-01-03 18:50,77400000273,CASH_OUT,Agent 26916,-30000,300,278806
2026-01-05 08:11,77400000280,PAYMENT_RECEIVED,Customer 2507****400,10570,53,289323
2026-01-05 09:57,77400000287,PAYMENT_RECEIVED,Customer 2507****564,12389,62,301650
2026-01-05 12:17,77400000294,PAYMENT_RECEIVED,Customer 2507****839,2340,12,303978
2026-01-05 12:33,77400000301,PAYMENT_RECEIVED,Customer 2507****369,24403,122,328259
2026-01-05 15:59,77400000308,PAYMENT_RECEIVED,Customer 2507****880,29957,150,358066
2026-01-05 17:01,77400000315,PAYMENT_RECEIVED,Customer 2507****208,7737,39,365764
2026-01-05 17:09,77400000322,PAYMENT_RECEIVED,Customer 2507****405,24177,121,389820
2026-01-05 17:26,77400000329,PAYMENT_RECEIVED,Customer 2507****619,23032,115,412737
2026-01-05 18:56,77400000336,PAYMENT_RECEIVED,Customer 2507****256,16193,81,428849
2026-01-05 19:36,77400000343,PAYMENT_RECEIVED,Customer 2507****265,11203,56,439996
2026-01-05 19:38,77400000350,PAYMENT_RECEIVED,Customer 2507****897,14588,73,454511
2026-01-05 18:38,77400000357,CASH_OUT,Agent 25310,-20000,300,434211
2026-01-05 12:05,77400000364,AIRTIME,MTN Airtime,-1000,0,433211
2026-01-06 08:59,77400000371,PAYMENT_RECEIVED,Customer 2507****662,13214,66,446359
2026-01-06 09:10,77400000378,PAYMENT_RECEIVED,Customer 2507****640,7496,37,453818
2026-01-06 09:20,77400000385,PAYMENT_RECEIVED,Customer 2507****533,24258,121,477955
2026-01-06 09:27,77400000392,PAYMENT_RECEIVED,Customer 2507****652,29322,147,507130
2026-01-06 10:08,77400000399,PAYMENT_RECEIVED,Customer 2507****806,20121,101,527150
2026-01-06 10:11,77400000406,PAYMENT_RECEIVED,Customer 2507****419,8119,41,535228
2026-01-06 12:05,77400000413,PAYMENT_RECEIVED,Customer 2507****787,11684,58,546854
2026-01-06 12:06,77400000420,PAYMENT_RECEIVED,Customer 2507****548,17204,86,563972
2026-01-06 13:14,77400000427,PAYMENT_RECEIVED,Customer 2507****562,25471,127,589316
2026-01-06 16:17,77400000434,PAYMENT_RECEIVED,Customer 2507****330,6633,33,595916
2026-01-06 17:05,77400000441,PAYMENT_RECEIVED,Customer 2507****121,5233,26,601123
2026-01-06 17:40,77400000448,PAYMENT_RECEIVED,Customer 2507****335,15702,79,616746
2026-01-06 19:15,77400000455,PAYMENT_RECEIVED,Customer 2507****107,15706,79,632373
2026-01-06 10:40,77400000462,TRANSFER_OUT,Supplier: Kigali Wholesale Ltd,-99229,250,532894
2026-01-06 09:15,77400000469,BILL_PAYMENT,EUCL Cash Power,-6500,0,526394
2026-01-06 15:40,77400000476,TRANSFER_IN,Family 2507****132,35000,0,561394
2026-01-07 11:39,77400000483,PAYMENT_RECEIVED,Customer 2507****684,6867,34,568227
2026-01-07 12:03,77400000490,PAYMENT_RECEIVED,Customer 2507****348,15421,77,583571
2026-01-07 12:45,77400000497,PAYMENT_RECEIVED,Customer 2507****926,21042,105,604508
2026-01-07 16:17,77400000504,PAYMENT_RECEIVED,Customer 2507****196,11841,59,616290
2026-01-07 16:46,77400000511,PAYMENT_RECEIVED,Customer 2507****541,6094,30,622354
2026-01-07 17:12,77400000518,PAYMENT_RECEIVED,Customer 2507****520,10833,54,633133
2026-01-07 19:25,77400000525,PAYMENT_RECEIVED,Customer 2507****846,13043,65,646111
2026-01-07 12:05,77400000532,AIRTIME,MTN Airtime,-3000,0,643111
2026-01-08 09:02,77400000539,PAYMENT_RECEIVED,Customer 2507****243,14520,73,657558
2026-01-08 09:51,77400000546,PAYMENT_RECEIVED,Customer 2507****385,12132,61,669629
2026-01-08 11:14,77400000553,PAYMENT_RECEIVED,Customer 2507****995,12953,65,682517
2026-01-08 11:16,77400000560,PAYMENT_RECEIVED,Customer 2507****553,26668,133,709052
2026-01-08 12:14,77400000567,PAYMENT_RECEIVED,Customer 2507****976,21822,109,730765
2026-01-08 13:47,77400000574,PAYMENT_RECEIVED,Customer 2507****151,14832,74,745523
2026-01-08 14:52,77400000581,PAYMENT_RECEIVED,Customer 2507****653,17262,86,762699
2026-01-08 18:05,77400000588,CASH_OUT,Agent 23872,-20000,300,742399
2026-01-09 08:02,77400000595,PAYMENT_RECEIVED,Customer 2507****848,18433,92,760740
2026-01-09 09:00,77400000602,PAYMENT_RECEIVED,Customer 2507****669,32965,165,793540
2026-01-09 10:48,77400000609,PAYMENT_RECEIVED,Customer 2507****598,17511,88,810963
2026-01-09 11:38,77400000616,PAYMENT_RECEIVED,Customer 2507****403,7305,37,818231
2026-01-09 12:31,77400000623,PAYMENT_RECEIVED,Customer 2507****159,8399,42,826588
2026-01-09 12:52,77400000630,PAYMENT_RECEIVED,Customer 2507****655,15490,77,842001
2026-01-09 14:28,77400000637,PAYMENT_RECEIVED,Customer 2507****421,5143,26,847118
2026-01-09 14:39,77400000644,PAYMENT_RECEIVED,Customer 2507****698,5028,25,852121
2026-01-09 14:50,77400000651,PAYMENT_RECEIVED,Customer 2507****973,13245,66,865300
2026-01-09 15:13,77400000658,PAYMENT_RECEIVED,Customer 2507****158,14406,72,879634
2026-01-09 15:45,77400000665,PAYMENT_RECEIVED,Customer 2507****182,29043,145,908532
2026-01-09 16:12,77400000672,PAYMENT_RECEIVED,Customer 2507****170,23404,117,931819
2026-01-09 10:43,77400000679,TRANSFER_OUT,Supplier: Nyabugogo Traders,-167354,250,764215
